codigo,nombre,categoria,id_proveedor,proveedor,precio_venta,unidad,estado
FER-0001,Martillo Clásico,Ferreteria,PRV-010,Alianza Nueva Granada,9719,Unidad,limpio
MIS-0002,Vela aromática Mediano,Miscelanea,PRV-019,Importadora San Martín,17638,Unidad,limpio
PAN-0003,Galleta de avena Grande,Panaderia,PRV-028,Soluciones del Norte,25557,Unidad,limpio
ABA-0004,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,33476,Paquete,limpio
PAP-0005,Resma de papel Mini,Papeleria,PRV-010,Alianza Nueva Granada,41395,Paquete,limpio
FER-0006,Martillo Clásico,Ferreteria,PRV-019,Importadora San Martín,49314,Unidad,limpio
MIS-0007,Vela aromática Mediano,Miscelanea,PRV-028,Soluciones del Norte,57233,Unidad,limpio
PAN-0008,Galleta de avena Grande,Panaderia,PRV-001,Distribuciones Andina,65152,Unidad,limpio
ABA-0009,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,73071,Unidad,limpio
PAP-0010,Resma de papel Mini,Papeleria,PRV-019,Importadora San Martín,80990,Paquete,limpio
FER-0011,Martillo Clásico,Ferreteria,PRV-028,Soluciones del Norte,88909,Paquete,limpio
MIS-0012,Vela aromática Mediano,Miscelanea,PRV-001,Distribuciones Andina,96828,Unidad,limpio
PAN-0013,Galleta de avena Grande,Panaderia,PRV-010,Alianza Nueva Granada,104747,Unidad,limpio
ABA-0014,Atún Premium,Abarrotes,PRV-019,Importadora San Martín,112666,Unidad,limpio
PAP-0015,Resma de papel Mini,Papeleria,PRV-028,Soluciones del Norte,120585,Unidad,limpio
FER-0016,Martillo Clásico,Ferreteria,PRV-001,Distribuciones Andina,128504,Paquete,limpio
MIS-0017,Vela aromática Mediano,Miscelanea,PRV-010,Alianza Nueva Granada,136423,Paquete,limpio
PAN-0018,Galleta de avena Grande,Panaderia,PRV-019,Importadora San Martín,144342,Unidad,limpio
ABA-0019,Atún Premium,Abarrotes,PRV-028,Soluciones del Norte,152261,Unidad,limpio
PAP-0020,Resma de papel Mini,Papeleria,PRV-001,Distribuciones Andina,160180,Unidad,limpio
FER-0021,Martillo Clásico,Ferreteria,PRV-010,Alianza Nueva Granada,168099,Unidad,limpio
MIS-0022,Vela aromática Mediano,Miscelanea,PRV-019,Importadora San Martín,176018,Paquete,limpio
PAN-0023,Galleta de avena Grande,Panaderia,PRV-028,Soluciones del Norte,183937,Paquete,limpio
ABA-0024,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,191856,Unidad,limpio
PAP-0025,Resma de papel Mini,Papeleria,PRV-010,Alianza Nueva Granada,199775,Unidad,limpio
FER-0026,Martillo Clásico,Ferreteria,PRV-019,Importadora San Martín,9694,Unidad,limpio
MIS-0027,Vela aromática Mediano,Miscelanea,PRV-028,Soluciones del Norte,17613,Unidad,limpio
PAN-0028,Galleta de avena Grande,Panaderia,PRV-001,Distribuciones Andina,25532,Paquete,limpio
ABA-0029,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,33451,Paquete,limpio
PAP-0030,Resma de papel Mini,Papeleria,PRV-019,Importadora San Martín,41370,Unidad,limpio
FER-0031,Martillo Clásico,Ferreteria,PRV-028,Soluciones del Norte,49289,Unidad,limpio
MIS-0032,Vela aromática Mediano,Miscelanea,PRV-001,Distribuciones Andina,57208,Unidad,limpio
PAN-0033,Galleta de avena Grande,Panaderia,PRV-010,Alianza Nueva Granada,65127,Unidad,limpio
ABA-0034,Atún Premium,Abarrotes,PRV-019,Importadora San Martín,73046,Paquete,limpio
PAP-0035,Resma de papel Mini,Papeleria,PRV-028,Soluciones del Norte,80965,Paquete,limpio
FER-0036,Martillo Clásico,Ferreteria,PRV-001,Distribuciones Andina,88884,Unidad,limpio
MIS-0037,Vela aromática Mediano,Miscelanea,PRV-010,Alianza Nueva Granada,96803,Unidad,limpio
PAN-0038,Galleta de avena Grande,Panaderia,PRV-019,Importadora San Martín,104722,Unidad,limpio
ABA-0039,Atún Premium,Abarrotes,PRV-028,Soluciones del Norte,112641,Unidad,limpio
PAP-0040,Resma de papel Mini,Papeleria,PRV-001,Distribuciones Andina,120560,Paquete,limpio
FER-0041,Martillo Clásico,Ferreteria,PRV-010,Alianza Nueva Granada,128479,Paquete,limpio
MIS-0042,Vela aromática Mediano,Miscelanea,PRV-019,Importadora San Martín,136398,Unidad,limpio
PAN-0043,Galleta de avena Grande,Panaderia,PRV-028,Soluciones del Norte,144317,Unidad,limpio
ABA-0044,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,152236,Unidad,limpio
PAP-0045,Resma de papel Mini,Papeleria,PRV-010,Alianza Nueva Granada,160155,Unidad,limpio
FER-0046,Martillo Clásico,Ferreteria,PRV-019,Importadora San Martín,168074,Paquete,limpio
