conversation_id,producto_original,cantidad,producto_final,referencia_corregida
wa-hogar-0001,cojín decorativo verde oliva,2,cojín decorativo verde oliva,False
wa-hogar-0001,juego de toallas blancas x3,3,juego de toallas blancas x3,False
wa-hogar-0002,protector de colchón sencillo,3,protector de colchón sencillo,False
wa-hogar-0002,cobija térmica queen beige,1,cobija térmica queen beige,False
wa-hogar-0002,juego de sábanas doble algodón,2,juego de sábanas doble algodón,False
wa-hogar-0003,cortina blackout 140x220 gris,1,cortina blackout 140x220 gris,False
wa-hogar-0004,tapete de baño gris,2,tapete de baño gris,False
wa-hogar-0004,protector de colchón doble,3,protector de colchón doble,False
wa-hogar-0006,juego de sábanas doble algodón,1,juego de sábanas doble algodón,False
wa-hogar-0007,juego de toallas gris x3,2,juego de toallas gris x3,False
wa-hogar-0007,almohada hotelera firme,3,almohada hotelera firme,False
wa-hogar-0008,cobija térmica sencilla azul,3,cobija térmica doble gris,True
wa-hogar-0008,juego de sábanas queen blancas,1,juego de sábanas queen blancas,False
wa-hogar-0008,tapete de baño verde,2,tapete de baño verde,False
wa-hogar-0009,cojín decorativo terracota,1,cojín decorativo terracota,False
wa-hogar-0011,cortina blackout 200x220 azul,3,cortina blackout 200x220 azul,False
wa-hogar-0011,cojín decorativo verde oliva,1,cojín decorativo verde oliva,False
wa-hogar-0011,juego de toallas blancas x3,2,juego de toallas blancas x3,False
wa-hogar-0012,tapete de baño verde,1,tapete de baño verde,False
wa-hogar-0013,almohada hotelera media,2,almohada hotelera media,False
wa-hogar-0013,cortina blackout 140x220 gris,3,cortina blackout 140x220 gris,False
wa-hogar-0014,juego de sábanas sencillas estampadas,3,juego de sábanas sencillas estampadas,False
wa-hogar-0014,tapete de baño gris,1,tapete de baño gris,False
wa-hogar-0014,protector de colchón doble,2,protector de colchón doble,False
wa-hogar-0016,cobija térmica queen beige,2,cobija térmica sencilla azul,True
wa-hogar-0016,juego de sábanas doble algodón,3,juego de sábanas doble algodón,False
wa-hogar-0017,cojín decorativo crema,3,cojín decorativo crema,False
wa-hogar-0017,juego de toallas gris x3,1,juego de toallas gris x3,False
wa-hogar-0017,almohada hotelera firme,2,almohada hotelera firme,False
wa-hogar-0018,protector de colchón doble,1,protector de colchón doble,False
wa-hogar-0019,cortina blackout 140x220 beige,2,cortina blackout 140x220 beige,False
wa-hogar-0019,cojín decorativo terracota,3,cojín decorativo terracota,False
wa-hogar-0021,almohada hotelera firme,1,almohada hotelera firme,False
wa-hogar-0022,juego de sábanas queen blancas,2,juego de sábanas queen blancas,False
wa-hogar-0022,tapete de baño verde,3,tapete de baño verde,False
wa-hogar-0023,juego de toallas arena x2,3,juego de toallas arena x2,False
wa-hogar-0023,almohada hotelera media,1,almohada hotelera media,False
wa-hogar-0023,cortina blackout 140x220 gris,2,cortina blackout 140x220 gris,False
wa-hogar-0024,cobija térmica doble gris,1,cobija térmica queen beige,True
wa-hogar-0026,protector de colchón sencillo,3,protector de colchón sencillo,False
wa-hogar-0026,cobija térmica queen beige,1,cobija térmica queen beige,False
wa-hogar-0026,juego de sábanas doble algodón,2,juego de sábanas doble algodón,False
wa-hogar-0027,cortina blackout 140x220 gris,1,cortina blackout 140x220 gris,False
wa-hogar-0028,tapete de baño gris,2,tapete de baño gris,False
wa-hogar-0028,protector de colchón doble,3,protector de colchón doble,False
wa-hogar-0029,almohada hotelera suave,3,almohada hotelera suave,False
wa-hogar-0029,cortina blackout 140x220 beige,1,cortina blackout 140x220 beige,False
wa-hogar-0029,cojín decorativo terracota,2,cojín decorativo terracota,False
wa-hogar-0031,juego de toallas gris x3,2,juego de toallas gris x3,False
wa-hogar-0031,almohada hotelera firme,3,almohada hotelera firme,False
wa-hogar-0032,cobija térmica sencilla azul,3,cobija térmica doble gris,True
wa-hogar-0032,juego de sábanas queen blancas,1,juego de sábanas queen blancas,False
wa-hogar-0032,tapete de baño verde,2,tapete de baño verde,False
wa-hogar-0033,cojín decorativo terracota,1,cojín decorativo terracota,False
wa-hogar-0034,protector de colchón queen,2,protector de colchón queen,False
wa-hogar-0034,cobija térmica doble gris,3,cobija térmica doble gris,False
wa-hogar-0036,tapete de baño verde,1,tapete de baño verde,False
wa-hogar-0037,almohada hotelera media,2,almohada hotelera media,False
wa-hogar-0037,cortina blackout 140x220 gris,3,cortina blackout 140x220 gris,False
wa-hogar-0038,juego de sábanas sencillas estampadas,3,juego de sábanas sencillas estampadas,False
wa-hogar-0038,tapete de baño gris,1,tapete de baño gris,False
wa-hogar-0038,protector de colchón doble,2,protector de colchón doble,False
wa-hogar-0039,juego de toallas blancas x3,1,juego de toallas blancas x3,False
wa-hogar-0041,cojín decorativo crema,3,cojín decorativo crema,False
wa-hogar-0041,juego de toallas gris x3,1,juego de toallas gris x3,False
wa-hogar-0041,almohada hotelera firme,2,almohada hotelera firme,False
wa-hogar-0042,protector de colchón doble,1,protector de colchón doble,False
wa-hogar-0043,cortina blackout 140x220 beige,2,cortina blackout 140x220 beige,False
wa-hogar-0043,cojín decorativo terracota,3,cojín decorativo terracota,False
wa-hogar-0044,tapete de baño beige,3,tapete de baño beige,False
wa-hogar-0044,protector de colchón queen,1,protector de colchón queen,False
wa-hogar-0044,cobija térmica doble gris,2,cobija térmica doble gris,False
wa-hogar-0046,juego de sábanas queen blancas,2,juego de sábanas queen blancas,False
wa-hogar-0046,tapete de baño verde,3,tapete de baño verde,False
wa-hogar-0047,juego de toallas arena x2,3,juego de toallas arena x2,False
wa-hogar-0047,almohada hotelera media,1,almohada hotelera media,False
wa-hogar-0047,cortina blackout 140x220 gris,2,cortina blackout 140x220 gris,False
wa-hogar-0048,cobija térmica doble gris,1,cobija térmica queen beige,True
wa-hogar-0049,cojín decorativo verde oliva,2,cojín decorativo verde oliva,False
wa-hogar-0049,juego de toallas blancas x3,3,juego de toallas blancas x3,False
wa-hogar-0051,cortina blackout 140x220 gris,1,cortina blackout 140x220 gris,False
wa-hogar-0052,tapete de baño gris,2,tapete de baño gris,False
wa-hogar-0052,protector de colchón doble,3,protector de colchón doble,False
wa-hogar-0053,almohada hotelera suave,3,almohada hotelera suave,False
